"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000177426",742.687698794262,1.29787477778322,0.0778714057449672,16.6668980143215,2.28130361988174e-62,5.12528243137455e-61,"TGIF1","7050","TGFB induced factor homeobox 1"
"ENSG00000138795",161.116339780714,3.74651458306478,0.224790737356155,16.6666768708039,2.28975762038622e-62,5.13644563306728e-61,"LEF1","51176","lymphoid enhancer binding factor 1"
"ENSG00000138131",355.511966869605,-2.02615179447527,0.121626166252669,-16.6588478195234,2.61004149119185e-62,5.84601694486103e-61,"LOXL4","84171","lysyl oxidase like 4"
"ENSG00000162975",265.399863805106,2.24094641851601,0.134554693477399,16.6545392107962,2.80496239550142e-62,6.27307068056144e-61,"KCNF1","3754","potassium voltage-gated channel modifier subfamily F member 1"
"ENSG00000137207",3349.56489581499,0.822240351790209,0.0493707089854323,16.6544165292993,2.81071990087734e-62,6.27642271198944e-61,"YIPF3","25844","Yip1 domain family member 3"
"ENSG00000137331",2455.72165560298,1.89472904593103,0.113783555664127,16.6520463776331,2.92429270961622e-62,6.52015521245445e-61,"IER3","8870","immediate early response 3"
"ENSG00000114030",803.826311951797,-1.18436962615475,0.0712720004204763,-16.6176004485274,5.19715105108184e-62,1.15703341678012e-60,"KPNA1","3836","karyopherin subunit alpha 1"
"ENSG00000115641",2701.67202124984,-1.0500911362273,0.0632637252765857,-16.5986294932263,7.13003783995801e-62,1.58495471621872e-60,"FHL2","2274","four and a half LIM domains 2"
"ENSG00000198768",1479.7601097051,1.16943522384847,0.0704877779585349,16.5906098577317,8.14886914174748e-62,1.80870532245594e-60,"APCDD1L","164284","APC down-regulated 1 like"
"ENSG00000132669",1773.55089167562,0.921518549127362,0.0556070611260254,16.5719700064507,1.11124717378316e-61,2.46279110484455e-60,"RIN2","54453","Ras and Rab interactor 2"
"ENSG00000100612",1115.79088492711,1.08492416198892,0.0654793212717305,16.5689585798642,1.16831686440475e-61,2.58538347561519e-60,"DHRS7","51635","dehydrogenase/reductase 7"
"ENSG00000102393",675.057910847723,1.34726401550964,0.0813484504399668,16.5616432547033,1.31940798805019e-61,2.91535756040236e-60,"GLA","2717","galactosidase alpha"
"ENSG00000165410",2010.33028532769,-0.9046375471031,0.0546610666733056,-16.5499431708838,1.60253852755987e-61,3.53566060167326e-60,"CFL2","1073","cofilin 2"
"ENSG00000173207",201.547644874983,-2.53292818939057,0.153159297521127,-16.5378676344554,1.95832624894034e-61,4.31417223570743e-60,"CKS1B","1163","CDC28 protein kinase regulatory subunit 1B"
"ENSG00000146731",3357.48572410262,-0.731361564895434,0.0442701401903097,-16.5204257712182,2.61545192240365e-61,5.75321349737089e-60,"CCT6A","908","chaperonin containing TCP1 subunit 6A"
"ENSG00000120694",3998.88532126629,0.804773065505294,0.0487354433842233,16.5130962113257,2.95334391956934e-61,6.48679324688718e-60,"HSPH1","10808","heat shock protein family H (Hsp110) member 1"
"ENSG00000107566",590.901249045588,-1.36105172126301,0.0824635162869439,-16.5048955289152,3.38318053143922e-61,7.41983849290941e-60,"ERLIN1","10613","ER lipid raft associated 1"
"ENSG00000125968",813.132247498704,1.37469540831829,0.0833531127973037,16.4924303626337,4.15879306574912e-61,9.10732425007586e-60,"ID1","3397","inhibitor of DNA binding 1, HLH protein"
"ENSG00000165480",185.117400003488,-2.84830509434897,0.172717072681573,-16.4911612391683,4.24707889529407e-61,9.28686183365639e-60,"SKA3","221150","spindle and kinetochore associated complex subunit 3"
"ENSG00000095380",685.512881073863,-1.320896661465,0.0801422868164763,-16.4818938158056,4.95093831474188e-61,1.08099153900246e-59,"NANS","54187","N-acetylneuraminate synthase"
"ENSG00000166925",1470.82030861347,1.08267943833564,0.065754697373377,16.4654310883346,6.4997949883571e-61,1.41707068843797e-59,"TSC22D4","81628","TSC22 domain family member 4"
"ENSG00000180914",617.328560160642,-1.61959002100649,0.0984709145789282,-16.4473949280559,8.7553871580533e-61,1.90601027969556e-59,"OXTR","5021","oxytocin receptor"
"ENSG00000060138",1966.61846946384,-0.858911848701854,0.0522790763782726,-16.429361576457,1.1789358412656e-60,2.56270743784253e-59,"YBX3","8531","Y-box binding protein 3"
"ENSG00000184374",412.477684565443,1.92516761238153,0.117316018753489,16.4101001111092,1.61938233570171e-60,3.51494210067331e-59,"COLEC10","10584","collectin subfamily member 10"
"ENSG00000087086",38343.9562713296,0.664901008008448,0.040518721318344,16.4097233667497,1.62946205848913e-60,3.53161938500189e-59,"FTL","2512","ferritin light chain"
"ENSG00000151892",274.725023021228,-2.07894665110424,0.127105115812835,-16.3561209775815,3.9340192564234e-60,8.51388778284407e-59,"GFRA1","2674","GDNF family receptor alpha 1"
"ENSG00000058804",462.310853005239,-1.66476180535249,0.10184546841591,-16.3459585511851,4.6480361815602e-60,1.00443925577469e-58,"NDC1","55706","NDC1 transmembrane nucleoporin"
"ENSG00000146674",3178.86104164133,-2.2074889188992,0.135068842787516,-16.3434354906846,4.8444644102243e-60,1.04535456043756e-58,"IGFBP3","3486","insulin like growth factor binding protein 3"
"ENSG00000067064",1038.1416042175,1.06844804044519,0.0654505040097659,16.3245196749863,6.60585744241611e-60,1.42334980974165e-58,"IDI1","3422","isopentenyl-diphosphate delta isomerase 1"
"ENSG00000162734",6922.9105871968,-0.703888285364258,0.0431806495014079,-16.3010119924506,9.70714774705898e-60,2.08852472257161e-58,"PEA15","8682","proliferation and apoptosis adaptor protein 15"
"ENSG00000115310",18721.9430843437,-0.577836179988973,0.0354699568395943,-16.2908622246743,1.14602062461806e-59,2.46210670052784e-58,"RTN4","57142","reticulon 4"
"ENSG00000011566",1192.29411306391,1.03003861391452,0.0632361198374823,16.2887700346215,1.18590297857295e-59,2.54408123700264e-58,"MAP4K3","8491","mitogen-activated protein kinase kinase kinase kinase 3"
"ENSG00000120129",2161.09482713326,1.06188047663428,0.0653085609090975,16.2594376886103,1.91487274876979e-59,4.10194688537341e-58,"DUSP1","1843","dual specificity phosphatase 1"
"ENSG00000107854",2630.16012351376,0.834486020493451,0.0513428466776443,16.2532090542771,2.1197245896932e-59,4.53418011653097e-58,"TNKS2","80351","tankyrase 2"
"ENSG00000182240",647.151276897681,-1.33297874389308,0.0820247299791592,-16.2509372994189,2.19975422770031e-59,4.69854750838365e-58,"BACE2","25825","beta-site APP-cleaving enzyme 2"
"ENSG00000082482",424.074499096535,-1.65456802401489,0.101829303313779,-16.2484468632421,2.29095000647977e-59,4.88625487633848e-58,"KCNK2","3776","potassium two pore domain channel subfamily K member 2"
"ENSG00000113361",6627.69746202839,0.70909446321656,0.0437227029659248,16.2179923727312,3.76294952830254e-59,8.0142124491507e-58,"CDH6","1004","cadherin 6"
"ENSG00000157985",939.765501576941,1.21804526225923,0.0751056597137392,16.2177559840595,3.77745796608494e-59,8.03350295875322e-58,"AGAP1","116987","ArfGAP with GTPase domain, ankyrin repeat and PH domain 1"
"ENSG00000178202",1065.31146094941,-1.17871766875417,0.0727864542253758,-16.1941899945337,5.54227110571387e-59,1.17697394172926e-57,"KDELC2","143888","KDEL motif containing 2"
"ENSG00000126947",767.130721459077,1.19400507294405,0.0737945892011118,16.1801168062611,6.96621553844154e-59,1.47723862741801e-57,"ARMCX1","51309","armadillo repeat containing, X-linked 1"
"ENSG00000132688",6013.69984713121,-0.669605296177556,0.0413937323572588,-16.1764899670888,7.38883971692537e-59,1.56460804235698e-57,"NES","10763","nestin"
"ENSG00000134900",1817.84517719375,0.920546878243675,0.0569276567337985,16.1704684692763,8.14764394064744e-59,1.72281171301667e-57,"TPP2","7174","tripeptidyl peptidase 2"
"ENSG00000196569",1145.44873681734,1.16249999599051,0.0719109052951269,16.165837312429,8.78363504899271e-59,1.85463056378302e-57,"LAMA2","3908","laminin subunit alpha 2"
"ENSG00000011426",1596.87539052221,-3.15458442694676,0.195254342657193,-16.156283051206,1.02562171688767e-58,2.16246249835343e-57,"ANLN","54443","anillin actin binding protein"
"ENSG00000117394",3909.75343292975,0.773994056575905,0.0479130726492938,16.1541310915553,1.06204525947481e-58,2.23606043344854e-57,"SLC2A1","6513","solute carrier family 2 member 1"
"ENSG00000115363",368.331247133507,-1.6956523569572,0.104978661645523,-16.1523525864984,1.09311829749848e-58,2.29819935357098e-57,"EVA1A","84141","eva-1 homolog A, regulator of programmed cell death"
"ENSG00000184575",2671.55776490372,-0.8246430202987,0.0510861342182014,-16.1422083099192,1.28847637987297e-58,2.70506622315781e-57,"XPOT","11260","exportin for tRNA"
"ENSG00000184661",203.831869946422,-2.59572395293671,0.161020362733287,-16.1204701621263,1.83210076019408e-58,3.84089630209678e-57,"CDCA2","157313","cell division cycle associated 2"
"ENSG00000196586",1287.22356985036,0.968078979205506,0.0601301724547267,16.0997206507996,2.56258910023691e-58,5.36469292035391e-57,"MYO6","4646","myosin VI"
"ENSG00000146670",234.421797339318,-2.27264186131092,0.141407839162036,-16.0715408337917,4.03920068425933e-58,8.44393470703744e-57,"CDCA5","113130","cell division cycle associated 5"
"ENSG00000117597",800.601337534738,1.16976449279433,0.0728092678208958,16.0661482776045,4.40628534649098e-58,9.19827669073429e-57,"DIEXF","27042","digestive organ expansion factor homolog (zebrafish)"
"ENSG00000205060",468.032823938363,-1.48884866337493,0.0928747419339661,-16.0307165583674,7.79783819229896e-58,1.62552389360823e-56,"SLC35B4","84912","solute carrier family 35 member B4"
"ENSG00000119280",1331.01982897188,-1.15787828389147,0.0722442131144228,-16.0272807187696,8.24108758074917e-58,1.7154964514842e-56,"C1orf198","84886","chromosome 1 open reading frame 198"
"ENSG00000126803",469.289445523563,1.4978321147038,0.0935180960658041,16.0164949642457,9.80221632377083e-58,2.03758905754209e-56,"HSPA2","3306","heat shock protein family A (Hsp70) member 2"
"ENSG00000118473",1198.18308682566,1.00582381965387,0.0628147542017097,16.0125408820989,1.04455521073267e-57,2.16826122475747e-56,"SGIP1","84251","SH3 domain GRB2 like endophilin interacting protein 1"
"ENSG00000172061",405.991933524089,-1.64438338121475,0.102702453312636,-16.0111402228055,1.06833899308348e-57,2.21451196625377e-56,"LRRC15","131578","leucine rich repeat containing 15"
"ENSG00000079616",281.560256133975,-1.96851497943575,0.122948045309834,-16.0109497835042,1.07161411968044e-57,2.21818102469808e-56,"KIF22","3835","kinesin family member 22"
"ENSG00000206527",723.086507112309,-1.23484673569322,0.0771552498162809,-16.0047014121992,1.18480264519686e-57,2.44903525735081e-56,"HACD2","201562","3-hydroxyacyl-CoA dehydratase 2"
"ENSG00000147324",726.621790136775,1.38006890969092,0.086338585934062,15.9843816615771,1.64188009841997e-57,3.3890796765425e-56,"MFHAS1","9258","malignant fibrous histiocytoma amplified sequence 1"
"ENSG00000121152",152.85489754481,-3.12643238092578,0.195921809638642,-15.9575515696398,2.52442041457084e-57,5.20348364614616e-56,"NCAPH","23397","non-SMC condensin I complex subunit H"
"ENSG00000091317",2920.87162420841,0.781161923268726,0.0489566249823774,15.9562045698598,2.57948346992397e-57,5.30955689661166e-56,"CMTM6","54918","CKLF like MARVEL transmembrane domain containing 6"
"ENSG00000214655",1231.51744735474,0.980174774678844,0.0614383215216825,15.9538013149159,2.6807123980132e-57,5.51022863625084e-56,"ZSWIM8","23053","zinc finger SWIM-type containing 8"
"ENSG00000169045",3149.51048633829,-0.752403760247085,0.0471995854711005,-15.9408976315643,3.29585305581426e-57,6.76522038114075e-56,"HNRNPH1","3187","heterogeneous nuclear ribonucleoprotein H1"
"ENSG00000136014",302.702038774099,-1.97152689017796,0.123678287726974,-15.9407679909848,3.3026978906992e-57,6.76826109646911e-56,"USP44","84101","ubiquitin specific peptidase 44"
"ENSG00000101444",1250.71765578295,-1.0463700210221,0.0656414273631617,-15.9406957321791,3.30651919490959e-57,6.76826109646911e-56,"AHCY","191","adenosylhomocysteinase"
"ENSG00000105323",3186.06347638341,-0.785916827393172,0.0494050976736008,-15.90760598401,5.61187035563394e-57,1.1471254549422e-55,"HNRNPUL1","11100","heterogeneous nuclear ribonucleoprotein U like 1"
"ENSG00000113194",1281.89125684505,-0.980075501602798,0.0616254247668614,-15.9037524740897,5.96803153851968e-57,1.21823890325073e-55,"FAF2","23197","Fas associated factor family member 2"
"ENSG00000168078",197.072225841373,-2.77381094986387,0.174509238620556,-15.8949232246386,6.87125920757715e-57,1.40067245091663e-55,"PBK","55872","PDZ binding kinase"
"ENSG00000067057",4159.87291565654,-0.707639791623365,0.0445441388017549,-15.8862604746438,7.88959276571862e-57,1.60603340029228e-55,"PFKP","5214","phosphofructokinase, platelet"
"ENSG00000009954",1946.16442084495,-0.837981723306773,0.0528142514431411,-15.8665833635629,1.07960074464499e-56,2.19464217580384e-55,"BAZ1B","9031","bromodomain adjacent to zinc finger domain 1B"
"ENSG00000168615",10531.9689365195,-0.586160077774688,0.0369440184247259,-15.8661700261167,1.08673230440185e-56,2.2060965154648e-55,"ADAM9","8754","ADAM metallopeptidase domain 9"
"ENSG00000121060",832.60095293763,-1.16240424449301,0.0732725765251309,-15.8641104164575,1.12297353815897e-56,2.27653150005323e-55,"TRIM25","7706","tripartite motif containing 25"
"ENSG00000100097",18826.7726782722,-0.665219990419787,0.0419376469578224,-15.8621200442842,1.15913971944532e-56,2.34662104192104e-55,"LGALS1","3956","galectin 1"
"ENSG00000178209",18013.6208162155,-0.636055205679313,0.0401689923979949,-15.8344824629224,1.79933488790296e-56,3.63766770616101e-55,"PLEC","5339","plectin"
"ENSG00000113070",432.428567796745,-1.70867923096129,0.107928917649307,-15.8315238230526,1.88597824219625e-56,3.80760922376553e-55,"HBEGF","1839","heparin binding EGF like growth factor"
"ENSG00000115758",3278.83582547899,0.875260088178444,0.0553585163635125,15.810757687779,2.62293224410078e-56,5.28820457093807e-55,"ODC1","4953","ornithine decarboxylase 1"
"ENSG00000156976",3455.14319469812,0.856227965164177,0.0542451290898256,15.7844211919255,3.98285954184802e-56,8.01904152018527e-55,"EIF4A2","1974","eukaryotic translation initiation factor 4A2"
"ENSG00000152127",5463.89093284956,0.7168317542692,0.0454921814174946,15.7572517283933,6.12387085498092e-56,1.23129070478457e-54,"MGAT5","4249","mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase"
"ENSG00000196923",3093.59540558037,-0.762302818835424,0.0483847522379059,-15.7550216458113,6.34376407312966e-56,1.27298660931199e-54,"PDLIM7","9260","PDZ and LIM domain 7"
"ENSG00000186185",151.351625572307,-2.94093509621577,0.186667083659899,-15.7549742490972,6.34852190150841e-56,1.27298660931199e-54,"KIF18B","146909","kinesin family member 18B"
"ENSG00000175130",3848.64227362953,0.764863309500894,0.0485644974129159,15.7494332330406,6.92996116847234e-56,1.38768706115415e-54,"MARCKSL1","65108","MARCKS like 1"
"ENSG00000128590",788.915899852491,1.19943943182309,0.0761611925207268,15.7486955249114,7.01127027556157e-56,1.40206378997594e-54,"DNAJB9","4189","DnaJ heat shock protein family (Hsp40) member B9"
"ENSG00000072195",636.591102933264,-1.41045545684734,0.0895681835454965,-15.7472821376454,7.1697152611308e-56,1.43180573873368e-54,"SPEG","10290","SPEG complex locus"
"ENSG00000115694",1528.08387841683,-0.980259748593881,0.0622609850904788,-15.7443661896668,7.50795908713598e-56,1.49732477707997e-54,"STK25","10494","serine/threonine kinase 25"
"ENSG00000196576",12242.4457751012,0.705822004844868,0.0448390709920473,15.7412272205651,7.88985403900034e-56,1.57136038955118e-54,"PLXNB2","23654","plexin B2"
"ENSG00000101158",617.70084492182,-1.25757568504619,0.0798991205667534,-15.7395435159455,8.10260743457852e-56,1.61155503874249e-54,"NELFCD","51497","negative elongation factor complex member C/D"
"ENSG00000077943",161.821193997302,3.06562755816876,0.194822300737599,15.7355063899886,8.6363046052064e-56,1.71538891201525e-54,"ITGA8","8516","integrin subunit alpha 8"
"ENSG00000138078",866.017428670229,-1.11533674997384,0.070881539761773,-15.7352218041876,8.67522088113625e-56,1.72079953359604e-54,"PREPL","9581","prolyl endopeptidase-like"
"ENSG00000172331",1155.33284929172,1.13099678687574,0.0718837256030567,15.7336974035142,8.88667108932002e-56,1.76037309831181e-54,"BPGM","669","bisphosphoglycerate mutase"
"ENSG00000140575",7629.75884132225,-0.596808323648112,0.0379624060446515,-15.7210352511941,1.08535645171353e-55,2.14711186380592e-54,"IQGAP1","8826","IQ motif containing GTPase activating protein 1"
"ENSG00000106665",3266.13156668889,0.707582454231468,0.0450156907448379,15.7185737355948,1.12835221132673e-55,2.22917625878462e-54,"CLIP2","7461","CAP-Gly domain containing linker protein 2"
"ENSG00000135631",1430.66372098328,-0.936221252131756,0.0595992896596612,-15.7085974929903,1.32068524839501e-55,2.60565718752955e-54,"RAB11FIP5","26056","RAB11 family interacting protein 5"
"ENSG00000135476",162.982841162264,-2.74550479394879,0.174860247451822,-15.7011375310174,1.48554198314127e-55,2.92699435127488e-54,"ESPL1","9700","extra spindle pole bodies like 1, separase"
"ENSG00000118200",2349.5585314731,0.803414583921963,0.0512115255865455,15.6881595445584,1.82263806388464e-55,3.58638715427661e-54,"CAMSAP2","23271","calmodulin regulated spectrin associated protein family member 2"
"ENSG00000138071",8345.5007177971,-0.628369822717187,0.0400611709605001,-15.6852585097114,1.90784835084935e-55,3.74904919930904e-54,"ACTR2","10097","ARP2 actin related protein 2 homolog"
"ENSG00000166986",2664.07866057974,-0.738620873802808,0.0470942372200541,-15.6838907986025,1.94938621651e-55,3.82557311037609e-54,"MARS","4141","methionyl-tRNA synthetase"
"ENSG00000077684",439.988370927781,-1.62056739268702,0.103398975715081,-15.6729540257008,2.31562102434472e-55,4.53824769372241e-54,"JADE1","79960","jade family PHD finger 1"
"ENSG00000148082",1145.26925635343,1.04378707226138,0.0666001666893256,15.6724393368324,2.33445171707799e-55,4.56907694638718e-54,"SHC3","53358","SHC adaptor protein 3"
"ENSG00000037474",1045.18764367081,-1.03695811810782,0.0661698435047044,-15.671158690803,2.38197063831375e-55,4.65589963759524e-54,"NSUN2","54888","NOP2/Sun RNA methyltransferase family member 2"
"ENSG00000143079",1003.35760445705,-1.09579740505042,0.0699513756481205,-15.6651301693145,2.61892932601469e-55,5.11228879560325e-54,"CTTNBP2NL","55917","CTTNBP2 N-terminal like"
"ENSG00000079819",2820.57434543831,-0.859343435567234,0.0548736188825043,-15.6604111969955,2.82067618927849e-55,5.49882614782888e-54,"EPB41L2","2037","erythrocyte membrane protein band 4.1 like 2"
"ENSG00000031698",3209.527922941,-0.815146013169314,0.0520545356499034,-15.6594618123508,2.86309750743106e-55,5.57415205607913e-54,"SARS","6301","seryl-tRNA synthetase"
"ENSG00000111665",169.507662978251,-2.72308300914648,0.173931204005038,-15.6560924459972,3.01884509116543e-55,5.86962255324487e-54,"CDCA3","83461","cell division cycle associated 3"
"ENSG00000174136",2119.78689767237,-1.09800513638391,0.0701401495353589,-15.654445330636,3.09802478405544e-55,6.01563758463887e-54,"RGMB","285704","repulsive guidance molecule family member b"
"ENSG00000130816",1726.12741414534,-0.934617275791673,0.0597282170197973,-15.6478348496807,3.43715910817442e-55,6.66537512319402e-54,"DNMT1","1786","DNA methyltransferase 1"
"ENSG00000204592",3442.32152790181,0.71739252347209,0.0458475978652375,15.6473306536313,3.46449439049068e-55,6.70955562773345e-54,"HLA-E","3133","major histocompatibility complex, class I, E"
"ENSG00000073111",355.267821123752,-1.80844068401253,0.115594225550043,-15.6447320392282,3.60885108646297e-55,6.97995371552378e-54,"MCM2","4171","minichromosome maintenance complex component 2"
"ENSG00000109686",536.691220637998,-1.44585440666253,0.0924718467187066,-15.6356173037262,4.16419768846554e-55,8.04350531226804e-54,"SH3D19","152503","SH3 domain containing 19"
"ENSG00000075975",588.221946023915,-1.33968323354194,0.0856887543197963,-15.6342946536736,4.2515648616557e-55,8.20151347265468e-54,"MKRN2","23609","makorin ring finger protein 2"
"ENSG00000197043",9202.93943573505,-0.610469197257828,0.039056024688995,-15.6306025029179,4.5052291938814e-55,8.67948599469596e-54,"ANXA6","309","annexin A6"
"ENSG00000122863",1110.41627542257,-0.992989047818117,0.0635703252189208,-15.6203235455931,5.29363303946389e-55,1.0185060539898e-53,"CHST3","9469","carbohydrate sulfotransferase 3"
"ENSG00000180340",886.962268180466,-1.22181969998563,0.078243526709862,-15.6156010773429,5.7005351731561e-55,1.09536489415873e-53,"FZD2","2535","frizzled class receptor 2"
"ENSG00000149269",587.639840204478,-1.4365360396559,0.0920235381544789,-15.6105282242507,6.17238395589358e-55,1.1844869107026e-53,"PAK1","5058","p21 (RAC1) activated kinase 1"
"ENSG00000117650",126.838303527204,-3.43633012331095,0.220191608230857,-15.6060903088921,6.61695662479828e-55,1.26814963246134e-53,"NEK2","4751","NIMA related kinase 2"
"ENSG00000150403",1834.88251477324,-0.833509024851904,0.0534218063643402,-15.602411853454,7.00951785199911e-55,1.3416399234125e-53,"TMCO3","55002","transmembrane and coiled-coil domains 3"
"ENSG00000082397",651.437555330181,-1.282999588654,0.0822787973452873,-15.5933196649657,8.08221420495267e-55,1.54495036254984e-53,"EPB41L3","23136","erythrocyte membrane protein band 4.1 like 3"
"ENSG00000136842",196.254349126235,2.49063270364873,0.159740380661281,15.5917539030407,8.28278842912466e-55,1.58124010192279e-53,"TMOD1","7111","tropomodulin 1"
"ENSG00000132274",1168.42818880782,0.977773677601572,0.062748495486415,15.5824242481361,9.58496343778095e-55,1.8274668971024e-53,"TRIM22","10346","tripartite motif containing 22"
"ENSG00000144724",1673.79923346359,0.840474727594208,0.0539572593521918,15.5766756444806,1.04868513922938e-54,1.99683741369026e-53,"PTPRG","5793","protein tyrosine phosphatase, receptor type G"
"ENSG00000142192",15389.4743856234,0.612237739412266,0.0393168225834521,15.5719027933338,1.12995168596133e-54,2.1488036061546e-53,"APP","351","amyloid beta precursor protein"
"ENSG00000166963",10655.5107150353,-0.605954168905453,0.0389292624435368,-15.5655188634599,1.24853537856292e-54,2.37125185686343e-53,"MAP1A","4130","microtubule associated protein 1A"
"ENSG00000124151",1531.79900842077,0.899119833654109,0.0577728302082147,15.5630221059564,1.29821532506951e-54,2.46243210564664e-53,"NCOA3","8202","nuclear receptor coactivator 3"
"ENSG00000182963",872.033773932354,-1.1261532299517,0.0723658019792235,-15.5619532866509,1.32007968885498e-54,2.50068566251218e-53,"GJC1","10052","gap junction protein gamma 1"
"ENSG00000119865",249.515401681249,-2.02245058846939,0.129991547724055,-15.558323782425,1.39710056216903e-54,2.64319230876086e-53,"CNRIP1","25927","cannabinoid receptor interacting protein 1"
"ENSG00000084623",2712.44670986767,-0.751257628399938,0.048304901260397,-15.5524099790648,1.53229642473807e-54,2.89525444971663e-53,"EIF3I","8668","eukaryotic translation initiation factor 3 subunit I"
"ENSG00000113369",944.426509850633,1.26282929967466,0.0813062751892438,15.5317568875879,2.11504836668677e-54,3.99123979874899e-53,"ARRDC3","57561","arrestin domain containing 3"
"ENSG00000107372",4119.59523116801,0.706577688056707,0.0455461458667669,15.5134462995752,2.81363054283215e-54,5.30272211512279e-53,"ZFAND5","7763","zinc finger AN1-type containing 5"
"ENSG00000146376",642.520139587642,-1.2916725147652,0.0832917460079246,-15.5078093169316,3.07181706413276e-54,5.78192080347236e-53,"ARHGAP18","93663","Rho GTPase activating protein 18"
"ENSG00000206190",599.080262767497,-1.46502072573465,0.0944810681385983,-15.5059712447952,3.1610037313191e-54,5.94220318777818e-53,"ATP10A","57194","ATPase phospholipid transporting 10A (putative)"
"ENSG00000128928",775.475240171357,-1.11973758229265,0.0722692167597693,-15.4939770001214,3.80976538132342e-54,7.15265250827319e-53,"IVD","3712","isovaleryl-CoA dehydrogenase"
"ENSG00000118985",2757.50035775855,-0.833522222321629,0.0538143731192321,-15.4888401370924,4.12668218133721e-54,7.73779160159642e-53,"ELL2","22936","elongation factor for RNA polymerase II 2"
"ENSG00000147224",1305.19656293962,-1.15210091772397,0.0744565239275249,-15.4734717248607,5.24030197415472e-54,9.81341429416674e-53,"PRPS1","5631","phosphoribosyl pyrophosphate synthetase 1"
"ENSG00000143850",361.134556233999,-1.82424281899753,0.117915124911152,-15.4708127593647,5.46131425064229e-54,1.02143209931429e-52,"PLEKHA6","22874","pleckstrin homology domain containing A6"
"ENSG00000100644",11564.0136796391,0.652918094351624,0.0422287851086881,15.4614463255608,6.31642000738789e-54,1.17986562824946e-52,"HIF1A","3091","hypoxia inducible factor 1 alpha subunit"
"ENSG00000075702",146.955080361503,-2.81305006953076,0.181990360881982,-15.4571377071722,6.75334005398985e-54,1.25988260399623e-52,"WDR62","284403","WD repeat domain 62"
"ENSG00000087245",13604.2258356842,0.618398001031275,0.0400077695992457,15.4569476685582,6.77328930708059e-54,1.26200679908665e-52,"MMP2","4313","matrix metallopeptidase 2"
"ENSG00000154310",348.650585752471,-1.62763748419295,0.105308148613379,-15.4559500439851,6.87898135511738e-54,1.28008115166313e-52,"TNIK","23043","TRAF2 and NCK interacting kinase"
"ENSG00000108946",3294.12422103295,-0.685938542303202,0.0444284561086162,-15.4391712515568,8.92395518626843e-54,1.65852776210875e-52,"PRKAR1A","5573","protein kinase cAMP-dependent type I regulatory subunit alpha"
"ENSG00000185022",1126.76320834814,1.0587352268745,0.0686981591722315,15.4114060643193,1.37193938357683e-53,2.54655448805482e-52,"MAFF","23764","MAF bZIP transcription factor F"
"ENSG00000189339",1751.0672425259,0.877810583268561,0.0570537874684734,15.3856671435462,2.04260257786612e-53,3.78665116887936e-52,"SLC35E2B","728661","solute carrier family 35 member E2B"
"ENSG00000136478",785.137902686494,-1.17701813525608,0.0765315445409273,-15.3795162807231,2.24619467293749e-53,4.15884636805939e-52,"TEX2","55852","testis expressed 2"
"ENSG00000115109",1104.89895198117,0.994219960331377,0.0646465054177649,15.3793303119238,2.2526552076486e-53,4.16557496239964e-52,"EPB41L5","57669","erythrocyte membrane protein band 4.1 like 5"
"ENSG00000197702",4036.58588102222,-0.709418150568266,0.0461371441289888,-15.3762909248326,2.3609043436288e-53,4.36027671884728e-52,"PARVA","55742","parvin alpha"
"ENSG00000118777",191.950750642772,2.67195732573395,0.173972453724153,15.3585080197268,3.1064150169747e-53,5.7299555094084e-52,"ABCG2","9429","ATP binding cassette subfamily G member 2 (Junior blood group)"
"ENSG00000076108",1894.66632069989,0.818420294992059,0.0533202039705195,15.3491591188316,3.58807066682338e-53,6.61012318595537e-52,"BAZ2A","11176","bromodomain adjacent to zinc finger domain 2A"
"ENSG00000105402",602.665076771524,-1.23400034323029,0.080444360425181,-15.3397992936746,4.144744670105e-53,7.62612321448284e-52,"NAPA","8775","NSF attachment protein alpha"
"ENSG00000071054",12760.5393878931,0.538580760741401,0.035115939196834,15.3372164623739,4.3129621946911e-53,7.92574025253834e-52,"MAP4K4","9448","mitogen-activated protein kinase kinase kinase kinase 4"
"ENSG00000155816",581.200694968664,-1.37997603772432,0.0899938619716553,-15.3341128771534,4.5241114165495e-53,8.30340648282772e-52,"FMN2","56776","formin 2"
"ENSG00000197217",2384.70451263753,0.749732931395853,0.0489098163301117,15.328884621762,4.90333874245301e-53,8.98823462515827e-52,"ENTPD4","9583","ectonucleoside triphosphate diphosphohydrolase 4"
"ENSG00000099250",5635.73291810195,-0.619274444298405,0.0404091788754133,-15.3250934944189,5.19797020293344e-53,9.51648259016559e-52,"NRP1","8829","neuropilin 1"
"ENSG00000155097",1556.83232384661,0.886890086352153,0.0578768132283704,15.3237546589281,5.30617758596214e-53,9.70253663299132e-52,"ATP6V1C1","528","ATPase H+ transporting V1 subunit C1"
"ENSG00000198856",1749.84936810886,-0.852706701417574,0.0556521401097844,-15.3220828477656,5.44445111374735e-53,9.94303847762187e-52,"OSTC","58505","oligosaccharyltransferase complex non-catalytic subunit"
"ENSG00000136824",494.584693554288,-1.42020610649728,0.0928521032020126,-15.2953574288719,8.21087979308791e-53,1.49767260384319e-51,"SMC2","10592","structural maintenance of chromosomes 2"
